journal_issn,journal_title,snip_latest
0001-0782,Communications of the ACM,3.01414130932734
0001-1452,AIAA Journal,1.30854658287369
0001-1541,AICHE Journal,1.1617454216392
0001-4346,Mathematical Notes,0.863770630588359
0001-4575,Accident Analysis and Prevention,2.30067698862861
0001-4966,Journal of the Acoustical Society of America,1.19504866666911
0001-5903,Acta Informatica,1.41503171698125
0001-6969,Acta Scientiarum Mathematicarum,0.873495689314808
0001-8678,Advances in Applied Probability,0.994308947939432
0001-8708,Advances in Mathematics,2.06940964421886
0001-8732,Advances in Physics,5.59810836024503
0001-9240,Aeronautical Journal,0.783451944630517
0002-1962,Agronomy Journal,1.17556475373073
0002-5240,Algebra Universalis,0.962347193492282
0002-7642,American Behavioral Scientist,1.65576855878901
0002-9505,American Journal of Physics,0.973203730995829
0002-9890,American Mathematical Monthly,1.02477651308436
0002-9939,Proceedings of the American Mathematical Society,1.05300296744409
0002-9947,Transactions of the American Mathematical Society,1.73390350368668
0003-1224,American Sociological Review,6.40899145520275
0003-1305,American Statistician,3.69913219875
0003-2700,Analytical Chemistry,1.42087264936848
0003-3804,Annalen der Physik,0.84855905358831
0003-4347,Annales des Telecommunications/Annals of Telecommunications,0.690018728817978
0003-486X,Annals of Mathematics,10.0767705229169
0003-4916,Annals of Physics,1.02895928527958
0003-6811,Applicable Analysis,0.956492311956385
0003-682X,Applied Acoustics,1.6867365783745
0003-6951,Applied Physics Letters,1.11869320137847
0003-9527,Archive for Rational Mechanics and Analysis,2.24570619863364
0004-3702,Artificial Intelligence,3.1303391263481
0004-5411,Journal of the ACM,2.8529104960361
0004-6256,Astronomical Journal,1.15975440794787
0004-6280,Publications of the Astronomical Society of the Pacific,1.28069332215606
0004-6337,Astronomische Nachrichten,0.38803270381556
0004-6361,Astronomy and Astrophysics,1.22610151503696
0004-637X,Astrophysical Journal,1.10482549921016
0004-640X,Astrophysics and Space Science,0.733472979723527
0004-9182,Australian Geographer,1.29098331125202
0005-1098,Automatica,2.54523624042081
0005-1144,Automatika,0.737938964922474
0005-1179,Automation and Remote Control,0.738441668031236
0006-291X,Biochemical and Biophysical Research Communications,0.723290057559602
0006-341X,Biometrics,1.43611582817465
0006-3835,BIT Numerical Mathematics,1.36384341707683
0007-0882,British Journal for the Philosophy of Science,4.32049247356643
0007-4497,Bulletin des Sciences Mathematiques,1.07018309104665
0007-8506,CIRP Annals - Manufacturing Technology,2.34202877016751
0008-0624,Calcolo,1.67972801255075
0008-414X,Canadian Journal of Mathematics,1.78055268638892
0008-4395,Canadian Mathematical Bulletin,1.11850858197173
0008-7041,Cartographic Journal,0.761371377996779
0009-2509,Chemical Engineering Science,1.37476655452255
0009-9260,Clinical Radiology,1.09024878886895
0010-0277,Cognition,1.9268715741442
0010-0757,Collectanea Mathematica,1.23087530685737
0010-1354,Colloquium Mathematicum,0.917567742310859
0010-3616,Communications in Mathematical Physics,1.69717202294055
0010-4485,CAD Computer Aided Design,1.53571134811675
0010-4620,Computer Journal,0.879983754821165
0010-4655,Computer Physics Communications,2.23781447516959
0010-4825,Computers in Biology and Medicine,1.94464114385645
0010-485X,Computing (Vienna/New York),1.28565297864306
0010-7514,Contemporary Physics,1.61690366142553
0011-3891,Current Science,0.677097105280891
0012-365X,Discrete Mathematics,1.23870004428833
0013-0915,Proceedings of the Edinburgh Mathematical Society,1.04654575684988
0013-5194,Electronics Letters,0.601737116292676
0013-7944,Engineering Fracture Mechanics,1.7160628268004
0014-2921,European Economic Review,1.71594954429965
0015-2684,Fire Technology,1.94731294022048
0015-752X,Forestry,1.13268803736777
0015-8208,Fortschritte der Physik,1.27497469870337
0015-9018,Foundations of Physics,0.956440037834662
0016-0032,Journal of the Franklin Institute,1.21252580044418
0016-2361,Fuel,1.90584666273799
0018-1560,Higher Education,3.08845596822286
0018-6368,Houille Blanche,0.206566337753171
0018-9162,Computer,1.6725075366637
0018-9200,IEEE Journal of Solid-State Circuits,2.64322952054865
0018-9219,Proceedings of the IEEE,4.36609996027683
0018-9251,IEEE Transactions on Aerospace and Electronic Systems,1.70981462718564
0018-926X,IEEE Transactions on Antennas and Propagation,1.94811279700978
0018-9286,IEEE Transactions on Automatic Control,2.65149756831483
0018-9294,IEEE Transactions on Biomedical Engineering,1.83524746566349
0018-9316,IEEE Transactions on Broadcasting,1.97066312573807
0018-9340,IEEE Transactions on Computers,1.7071263508406
0018-9359,IEEE Transactions on Education,2.45325738677882
0018-9383,IEEE Transactions on Electron Devices,1.36363901089937
0018-9391,IEEE Transactions on Engineering Management,1.38791802570509
0018-9448,IEEE Transactions on Information Theory,1.73502047730278
0018-9456,IEEE Transactions on Instrumentation and Measurement,1.98182343282314
0018-9464,IEEE Transactions on Magnetics,1.06566395702576
0018-9480,IEEE Transactions on Microwave Theory and Techniques,1.81109973800848
0018-9499,IEEE Transactions on Nuclear Science,1.15921232037059
0018-9529,IEEE Transactions on Reliability,2.1960895831461
0018-9545,IEEE Transactions on Vehicular Technology,1.89391377574401
0019-0578,ISA Transactions,1.85104940947631
0019-1035,Icarus,1.22883523130039
0019-3577,Indagationes Mathematicae,1.23138174776631
0019-5588,Indian Journal of Pure and Applied Mathematics,0.608787487250192
0020-0190,Information Processing Letters,0.803919731822145
0020-0255,Information Sciences,2.40418426082421
0020-174X,Inquiry (United Kingdom),1.48088821518939
0020-7047,International Journal for Philosophy of Religion,1.87435436097819
0020-7160,International Journal of Computer Mathematics,1.06473870957408
0020-7179,International Journal of Control,1.15265500211277
0020-7217,International Journal of Electronics,0.744977063617336
0020-7225,International Journal of Engineering Science,1.80931942171365
0020-7276,International Journal of Game Theory,0.752244192213251
0020-7462,International Journal of Non-Linear Mechanics,1.25196203504831
0020-7543,International Journal of Production Research,2.90121607093786
0020-7721,International Journal of Systems Science,0.715797758005049
0020-7748,International Journal of Theoretical Physics,0.615625161994828
0021-2172,Israel Journal of Mathematics,1.2732213879236
0021-4922,Japanese Journal of Applied Physics,0.611655147129213
0021-8464,Journal of Adhesion,1.19019065358687
0021-8693,Journal of Algebra,1.33902128618781
0021-8936,"Journal of Applied Mechanics, Transactions ASME",0.907947217454344
0021-8979,Journal of Applied Physics,0.963802760872601
0021-9002,Journal of Applied Probability,1.0909514198928
0021-9045,Journal of Approximation Theory,1.29531610769981
0021-9142,Journal of the Astronautical Sciences,1.01645505515648
0021-9568,Journal of Chemical & Engineering Data,0.879728052604501
0021-9606,Journal of Chemical Physics,1.07248476735622
0021-9673,Journal of Chromatography A,1.09806784774238
0021-9797,Journal of Colloid and Interface Science,1.35146863741368
0021-9916,Journal of Communication,3.55470887790981
0021-9991,Journal of Computational Physics,1.93301913337755
0022-0000,Journal of Computer and System Sciences,1.30467360970077
0022-0418,Journal of Documentation,1.55661496791611
0022-0434,"Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME",0.891429877417182
0022-0531,Journal of Economic Theory,1.73699702610136
0022-1120,Journal of Fluid Mechanics,1.78978951165044
0022-1198,Journal of Forensic Sciences,1.04824447929771
0022-1236,Journal of Functional Analysis,1.88319800464191
0022-1694,Journal of Hydrology,1.85694832367151
0022-247X,Journal of Mathematical Analysis and Applications,1.26245661778091
0022-2488,Journal of Mathematical Physics,0.983510325546696
0022-2496,Journal of Mathematical Psychology,1.17988538468772
0022-250X,Journal of Mathematical Sociology,1.10892659132082
0022-314X,Journal of Number Theory,1.14621635669037
0022-3239,Journal of Optimization Theory and Applications,1.35570199122658
0022-3611,Journal of Philosophical Logic,2.72910735233722
0022-3727,Journal Physics D: Applied Physics,0.999291354769951
0022-3808,Journal of Political Economy,7.20366798022697
0022-4049,Journal of Pure and Applied Algebra,1.22259776745146
0022-4065,Journal of Quality Technology,1.7558945386344
0022-460X,Journal of Sound and Vibration,1.96309979503398
0022-4715,Journal of Statistical Physics,0.989065457657517
0022-4812,Journal of Symbolic Logic,1.16447675946002
0022-4898,Journal of Terramechanics,1.61548719898695
0022-5010,Journal of the History of Biology,1.09531762642949
0022-5096,Journal of the Mechanics and Physics of Solids,1.85036377135011
0022-5193,Journal of Theoretical Biology,0.808601960500646
0023-5954,Kybernetika,0.483643515423228
0024-094X,Leonardo,0.376702009098221
0024-3795,Linear Algebra and Its Applications,1.51551932149302
0024-6093,Bulletin of the London Mathematical Society,1.50742430977837
0024-6107,Journal of the London Mathematical Society,1.2252665845856
0024-6115,Proceedings of the London Mathematical Society,2.07007502218317
0025-1909,Management Science,3.18536752823194
0025-326X,Marine Pollution Bulletin,1.5170773950193
0025-5610,Mathematical Programming,2.52218116061988
0025-5718,Mathematics of Computation,1.99367078429129
0025-5793,Mathematika,0.960777219051363
0026-1068,Metaphilosophy,1.20240807938722
0026-1424,Metron,0.810413528731592
0026-2714,Microelectronics Reliability,0.851012774374816
0026-8976,Molecular Physics,0.616480345294394
0027-8424,Proceedings of the National Academy of Sciences of the United States of America,3.06250660316765
0028-0836,Nature,11.3420785367819
0028-3045,Networks,1.60335844591979
0029-4527,Notre Dame Journal of Formal Logic,1.24897391184245
0029-5981,International Journal for Numerical Methods in Engineering,1.28498345216996
0029-599X,Numerische Mathematik,1.62138501636667
0029-8018,Ocean Engineering,2.09497503792033
0030-364X,Operations Research,2.10301282966187
0030-4018,Optics Communications,0.88177270810411
0030-4026,Optik,0.882639245805674
0031-3203,Pattern Recognition,3.08879778584076
0031-8205,Philosophy and Phenomenological Research,3.49320462002321
0031-8248,Philosophy of Science,1.58185268799186
0031-8949,Physica Scripta,0.908743919097421
0031-9007,Physical Review Letters,2.28644204505029
0031-9015,Journal of the Physical Society of Japan,0.709018472657642
0031-9155,Physics in Medicine and Biology,1.26254469566969
0032-2687,Policy Sciences,2.63155123730436
0032-5910,Powder Technology,1.66768669800531
0032-9460,Problems of Information Transmission,1.19018303285204
0033-5177,Quality and Quantity,2.24781096893235
0033-569X,Quarterly of Applied Mathematics,0.628018062638514
0033-6807,R and D Management,1.87699820213449
0034-4257,Remote Sensing of Environment,3.25218393769099
0034-4877,Reports on Mathematical Physics,0.72548216601081
0034-6527,Review of Economic Studies,5.20376769443101
0034-6535,Review of Economics and Statistics,4.48385871046241
0034-6861,Reviews of Modern Physics,16.2619933376647
0035-8711,Monthly Notices of the Royal Astronomical Society,0.998587726041654
0035-9254,Journal of the Royal Statistical Society. Series C: Applied Statistics,1.2935358711414
0036-0279,Russian Mathematical Surveys,1.22048917281217
0036-1399,SIAM Journal on Applied Mathematics,1.18653987297819
0036-1410,SIAM Journal on Mathematical Analysis,1.51014895902002
0036-1429,SIAM Journal on Numerical Analysis,1.73857843071813
0036-1445,SIAM Review,6.3061199224436
0036-8075,Science,9.11552677630541
0037-1912,Semigroup Forum,1.02523078755143
0038-0644,Software - Practice and Experience,1.11894740286019
0038-092X,Solar Energy,1.66782919437862
0038-0938,Solar Physics,1.07229373969345
0038-1101,Solid-State Electronics,0.789536931930962
0039-0402,Statistica Neerlandica,1.23932205818071
0039-2480,Strojniski Vestnik/Journal of Mechanical Engineering,0.599801023589377
0039-3215,Studia Logica,1.64800801460563
0039-7857,Synthese,2.61243675472474
0039-9140,Talanta,1.18555895971852
0040-1625,Technological Forecasting and Social Change,3.09730418262996
0040-5779,Theoretical and Mathematical Physics(Russian Federation),0.6386179532193
0040-5833,Theory and Decision,0.984363279411075
0040-8735,Tohoku Mathematical Journal,0.706848331396425
0041-1655,Transportation Science,2.29232837473046
0041-624X,Ultrasonics,1.5934411330662
0042-3114,Vehicle System Dynamics,2.545102401858
0042-6989,Vision Research,0.957946654954939
0043-1354,Water Research,2.49895501657613
0043-1397,Water Resources Research,1.67278855747453
0044-2267,ZAMM Zeitschrift fur Angewandte Mathematik und Mechanik,1.00325043025058
0045-7825,Computer Methods in Applied Mechanics and Engineering,2.03877532829834
0045-7906,Computers and Electrical Engineering,1.75515325471463
0045-7930,Computers and Fluids,1.40598062461465
0045-7949,Computers and Structures,2.04019343660557
0046-5755,Geometriae Dedicata,0.93615521706153
0047-2352,Journal of Criminal Justice,1.90257653587525
0047-259X,Journal of Multivariate Analysis,1.32729349420033
0048-5829,Public Choice,1.47335540465434
0048-6604,Radio Science,0.957712363293343
0048-7333,Research Policy,3.622623130627
0049-4488,Transportation,1.86652229885736
0065-1036,Acta Arithmetica,1.01234809127618
0065-9266,Memoirs of the American Mathematical Society,2.90920311734881
0067-0049,"Astrophysical Journal, Supplement Series",2.33895446847963
0077-8923,Annals of the New York Academy of Sciences,1.9317056854783
0079-6107,Progress in Biophysics and Molecular Biology,1.20896307692575
0090-5364,Annals of Statistics,3.85582109697679
0090-6964,Annals of Biomedical Engineering,1.42253484532103
0091-1798,Annals of Probability,2.32984013247401
0091-3286,Optical Engineering,0.702011968520725
0092-7872,Communications in Algebra,0.992152132824847
0092-8240,Bulletin of Mathematical Biology,0.910430224009544
0093-6502,Communication Research,3.01087278117283
0093-9994,IEEE Transactions on Industry Applications,1.76577467978078
0094-114X,Mechanism and Machine Theory,2.29429924091267
0094-2405,Medical Physics,1.52329260299472
0094-5765,Acta Astronautica,1.55039760949947
0094-8276,Geophysical Research Letters,1.52365897466773
0094-9655,Journal of Statistical Computation and Simulation,1.26096438014658
0095-4470,Journal of Phonetics,2.59162240469087
0095-4616,Applied Mathematics and Optimization,1.57170436708932
0095-8956,Journal of Combinatorial Theory. Series B,2.00257405498234
0096-3003,Applied Mathematics and Computation,1.66046645228008
0097-3165,Journal of Combinatorial Theory - Series A,1.79510953875333
0097-5397,SIAM Journal on Computing,1.92123100311544
0097-8493,Computers and Graphics,1.06994346069667
0098-1354,Computers and Chemical Engineering,1.44075256420193
0098-3004,Computers and Geosciences,1.66435306824462
0098-3063,IEEE Transactions on Consumer Electronics,1.6021970553247
0098-3500,ACM Transactions on Mathematical Software,1.89673521425703
0098-5589,IEEE Transactions on Software Engineering,3.35512515933427
0099-1333,Journal of Academic Librarianship,1.43007876169673
0129-0541,International Journal of Foundations of Computer Science,0.684983678628501
0129-055X,Reviews in Mathematical Physics,1.04945020772887
0129-0657,International Journal of Neural Systems,1.56291239192698
0129-1831,International Journal of Modern Physics C,0.509537096330379
0129-6264,Parallel Processing Letters,0.357524876980586
0134-2452,Computer Optics,0.996863070755579
0138-4821,Beitrage zur Algebra und Geometrie,0.999635876640978
0138-9130,Scientometrics,1.62031108857449
0140-0118,Medical and Biological Engineering and Computing,1.14531985650097
0140-525X,Behavioral and Brain Sciences,0.368490926921543
0140-9883,Energy Economics,2.34666204592242
0141-0296,Engineering Structures,2.40595622961021
0141-9331,Microprocessors and Microsystems,1.73017157896901
0141-9382,Displays,1.31872723552059
0142-0615,International Journal of Electrical Power and Energy Systems,1.58128406871663
0142-3312,Transactions of the Institute of Measurement and Control,0.787891278356767
0143-1161,International Journal of Remote Sensing,1.14549462611271
0143-2087,Optimal Control Applications and Methods,0.896878386491176
0143-3857,Ergodic Theory and Dynamical Systems,1.36192480342179
0143-4632,Journal of Multilingual and Multicultural Development,1.64173507874048
0143-991X,Industrial Robot,0.718589856250254
0144-929X,Behaviour and Information Technology,1.38726624412246
0145-7632,Heat Transfer Engineering,1.2525646466722
0146-4116,Automatic Control and Computer Sciences,0.6568584880576
0146-4833,Computer Communication Review,1.1261800800168
0146-8030,Fiber and Integrated Optics,0.499313346902444
0146-9592,Optics Letters,1.34251775036882
0148-396X,Neurosurgery,1.76487565640369
0148-5598,Journal of Medical Systems,1.74153945708164
0148-9267,Computer Music Journal,1.07124013320275
0160-5682,Journal of the Operational Research Society,1.32220499005191
0161-1194,Cryptologia,1.98461538461538
0161-6420,Ophthalmology,4.8087580404374
0162-1459,Journal of the American Statistical Association,3.78609810038641
0162-3257,Journal of Autism and Developmental Disorders,1.86156529860555
0162-8828,IEEE Transactions on Pattern Analysis and Machine Intelligence,7.33767581878428
0163-0563,Numerical Functional Analysis and Optimization,0.989519234632869
0163-5808,SIGMOD Record,0.965663643044775
0163-5980,Operating Systems Review (ACM),0.693226366744364
0163-5999,Performance Evaluation Review,0.35747434776941
0163-6804,IEEE Communications Magazine,3.54217868622115
0163-9374,Cataloging and Classification Quarterly,1.3972889592188
0164-0925,ACM Transactions on Programming Languages and Systems,1.48842674846484
0164-1212,Journal of Systems and Software,2.15656514581662
0165-0114,Fuzzy Sets and Systems,1.89773713654872
0165-0270,Journal of Neuroscience Methods,0.884302874174329
0165-1684,Signal Processing,1.70057306463217
0165-1765,Economics Letters,1.08547491260159
0165-1889,Journal of Economic Dynamics and Control,1.23159018860743
0165-2125,Wave Motion,1.14680256273263
0165-232X,Cold Regions Science and Technology,1.92759487574015
0165-4896,Mathematical Social Sciences,0.925964756351229
0165-5515,Journal of Information Science,1.63089691047702
0165-7836,Fisheries Research,1.24670086899393
0166-218X,Discrete Applied Mathematics,1.30095263292454
0166-2236,Trends in Neurosciences,3.11732132361986
0166-3615,Computers in Industry,3.44807274768032
0166-4328,Behavioural Brain Research,0.904108183500987
0166-4972,Technovation,3.50105563035032
0166-5316,Performance Evaluation,1.47616057488359
0166-8641,Topology and its Applications,0.900164019898772
0167-2789,Physica D: Nonlinear Phenomena,1.45635404639287
0167-4048,Computers and Security,2.30189940320729
0167-4730,Structural Safety,2.50395696227694
0167-6377,Operations Research Letters,0.974100471859588
0167-6393,Speech Communication,1.32230257288385
0167-6423,Science of Computer Programming,1.00839191151768
0167-6911,Systems and Control Letters,1.52376665243643
0167-7055,Computer Graphics Forum,1.29000998233866
0167-7152,Statistics and Probability Letters,0.878022418674071
0167-739X,Future Generation Computer Systems,2.69851268912508
0167-7411,Topoi,1.80068896502622
0167-8019,Acta Applicandae Mathematicae,0.953821179795606
0167-8094,Order,1.2449407916383
0167-8191,Parallel Computing,0.802087594034661
0167-8396,Computer Aided Geometric Design,1.11827021100086
0167-8442,Theoretical and Applied Fracture Mechanics,1.41446188345303
0167-8655,Pattern Recognition Letters,1.78636530912229
0167-9236,Decision Support Systems,2.66051349939623
0167-9260,"Integration, the VLSI Journal",0.842842767672336
0167-9473,Computational Statistics and Data Analysis,1.5234991049393
0168-0072,Annals of Pure and Applied Logic,1.47592773028825
0168-1699,Computers and Electronics in Agriculture,2.37981714413842
0168-7433,Journal of Automated Reasoning,1.41123486675961
0168-874X,Finite Elements in Analysis and Design,1.12418750965354
0168-9002,"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",0.944063099272315
0168-9274,Applied Numerical Mathematics,1.29134226580872
0169-023X,Data and Knowledge Engineering,1.21897662212276
0169-1864,Advanced Robotics,1.0134470499856
0169-2070,International Journal of Forecasting,2.79189489189984
0169-2607,Computer Methods and Programs in Biomedicine,2.07889696451326
0169-2968,Fundamenta Informaticae,0.767494379587684
0169-4332,Applied Surface Science,1.26238849263721
0169-555X,Geomorphology,1.50366849433224
0169-7439,Chemometrics and Intelligent Laboratory Systems,1.31557049958794
0169-8141,International Journal of Industrial Ergonomics,1.65750655738629
0170-4214,Mathematical Methods in the Applied Sciences,1.14803330905522
0170-6012,Informatik-Spektrum,0.271943342536302
0171-6468,OR Spectrum,1.1069269944961
0176-1714,Social Choice and Welfare,1.08689884069026
0176-4268,Journal of Classification,0.889501624597974
0176-4276,Constructive Approximation,1.59800086689858
0177-0667,Engineering with Computers,1.86228099344137
0178-2770,Distributed Computing,1.38224181697043
0178-2789,Visual Computer,1.21133042768504
0178-4617,Algorithmica,1.23576911463075
0178-7675,Computational Mechanics,1.45983048375767
0178-8051,Probability Theory and Related Fields,1.52109322654537
0179-5376,Discrete and Computational Geometry,1.36752735779218
0188-7009,Advances in Applied Clifford Algebras,1.0713063928554
0191-2615,Transportation Research Part B: Methodological,2.81215614238892
0193-841X,Evaluation Review,1.04562460531036
0195-6663,Appetite,1.55622639916886
0195-6698,European Journal of Combinatorics,1.28233063693504
0195-9298,Journal of Nondestructive Evaluation,1.23329269641591
0196-2892,IEEE Transactions on Geoscience and Remote Sensing,2.38840460218115
0196-8858,Advances in Applied Mathematics,1.05104308268373
0196-8904,Energy Conversion and Management,2.36867071370158
0197-1360,Journal of The American Institute for Conservation,0.502766752727218
0197-3975,Habitat International,1.80025446149227
0197-6729,Journal of Advanced Transportation,1.03820198066444
0198-9715,"Computers, Environment and Urban Systems",2.16398413731422
0209-9683,Combinatorica,1.80705619910935
0217-7323,Modern Physics Letters A,0.557518738563216
0217-9792,International Journal of Modern Physics B,0.474127571912009
0217-9849,Modern Physics Letters B,0.524611125954362
0218-0006,Annals of Combinatorics,1.44797850026173
0218-0014,International Journal of Pattern Recognition and Artificial Intelligence,0.77114670769169
0218-1266,"Journal of Circuits, Systems and Computers",0.670266178193991
0218-1274,International Journal of Bifurcation and Chaos in Applied Sciences and Engineering,1.0391814381562
0218-1940,International Journal of Software Engineering and Knowledge Engineering,0.607014191841361
0218-1959,International Journal of Computational Geometry and Applications,0.406086051607198
0218-1967,International Journal of Algebra and Computation,0.844997150975879
0218-2025,Mathematical Models and Methods in Applied Sciences,1.74661001802865
0218-2130,International Journal on Artificial Intelligence Tools,0.647400661193074
0218-348X,Fractals,1.28364659393349
0219-0613,Journal of Mathematical Logic,1.90256335634683
0219-1377,Knowledge and Information Systems,1.41313361873574
0219-1997,Communications in Contemporary Mathematics,1.44862243375103
0219-4678,International Journal of Image and Graphics,0.638534529547269
0219-4775,Fluctuation and Noise Letters,0.614162130560194
0219-4988,Journal of Algebra and its Applications,1.15545036811197
0219-5259,Advances in Complex Systems,0.703295519111103
0219-5305,Analysis and Applications,1.23868557447988
0219-6492,Journal of Information and Knowledge Management,0.465403260239563
0219-6913,"International Journal of Wavelets, Multiresolution and Information Processing",0.902596354826414
0219-7200,Journal of Bioinformatics and Computational Biology,0.362780489357107
0219-7499,International Journal of Quantum Information,0.354594147745937
0219-8436,International Journal of Humanoid Robotics,0.793263254508224
0232-2064,Zeitschrift fur Analysis und ihre Anwendung,1.09854372658519
0233-1934,Optimization,1.42032960920801
0236-5294,Acta Mathematica Hungarica,1.26434039958798
0246-0203,Annales de l'institut Henri Poincare (B) Probability and Statistics,1.17081666089102
0250-6335,Journal of Astrophysics and Astronomy,0.679847655275251
0253-6102,Communications in Theoretical Physics,0.632810528140798
0254-5330,Annals of Operations Research,1.73172552427582
